,annex_2_8_9,annex_1,national_code,type_of_waste,annex_3,amount,countries_of_transit ,country_of_destination,annex_4_a,annex_4_b,country,year
104,A1050,Y17,110109,,H12,208.32,CH,IT,,R4,Greece,2020
105,A1050,Y17,110109,,H12,87.07,CZ,SK,,R4,Greece,2020
106,A1050,Y17,110109,,H12,70.1,"ES,NL,GB",BR,,R4,Greece,2020
107,A1050,Y17,110109,,H12,209.87,FR,ES,,R4,Greece,2020
108,A1050,Y17,110109,,H12,249.88,FR,FR,,R4,Greece,2020
109,A1050,Y17,110109,,H12,563.46,"FR,BE,NL",GB,,R4,Greece,2020
110,A1050,Y17,110109,,H12,16.93,"HU,SK,CZ",RO,,R4,Greece,2020
111,A1050,Y17,110109,,H12,46.76,NL,IE,,R12,Greece,2020
112,A1050,Y17,110109,,H12,96.55,NL,IE,,R4,Greece,2020
113,A1050,Y17,110109,,H12,12.15,NL,IE,D10,,Greece,2020
114,A1050,Y17,110109,,H12,64.62,"RO,HU,SK,CZ",BG,,R4,Greece,2020
115,A1050,Y17,110109,,H12,31.04,"SK,CZ",HU,,R4,Greece,2020
116,A1050,,60405,,H12,70.17,,CH,,R4,Greece,2020
117,A1060,Y17,110105,,H8,527.91,,AT,,R13,Greece,2020
118,A1060,Y17,110105,,H8,1358.98,,AT,,R4,Greece,2020
119,A1060,Y17,110105,,H8,476.76,,AT,,R5,Greece,2020
120,A1060,Y17,110105,,H8,628.28,,BE,,R4,Greece,2020
121,A1060,Y17,110105,,H8,187.12,,BE,,R5,Greece,2020
122,A1060,Y17,110105,,H8,1428.16,,CH,,R4,Greece,2020
123,A1060,Y17,110105,,H8,660.58,,CH,,R5,Greece,2020
124,A1060,Y17,110105,,H8,218.16,,DK,,R13,Greece,2020
125,A1060,Y17,110105,,H8,990.25,,DK,,R5,Greece,2020
126,A1060,Y17,110105,,H8,19.84,,ES,,R4,Greece,2020
127,A1060,Y17,110105,,H8,196.83,,FR,,R4,Greece,2020
128,A1060,Y17,110105,,H8,33.29,,IE,,R12,Greece,2020
129,A1060,Y17,110105,,H8,16.16,,IE,D9,,Greece,2020
130,A1060,Y17,110105,,H8,52.82,,LU,D9,,Greece,2020
131,A1060,Y17,110105,,H8,1355.57,,NL,,R13,Greece,2020
132,A1060,Y17,110105,,H8,803.42,,NL,,R4,Greece,2020
133,A1060,Y17,110105,,H8,27130.92,,NL,,R5,Greece,2020
134,A1060,Y17,110105,,H8,120.64,,NL,D9,,Greece,2020
135,A1060,Y17,110105,,H8,11.32,,SE,,R4,Greece,2020
136,A1060,Y17,110105,,H8,148.0,CH,IT,,R4,Greece,2020
137,A1060,Y17,110105,,H8,279.84,NL,BE,,R4,Greece,2020
138,A1060,Y17,110105,,H8,1389.72,NL,BE,,R5,Greece,2020
139,A1060,Y17,110105,,H8,97.52,NL,IE,,R12,Greece,2020
140,A1060,Y17,110105,,H8,13.14,NL,IE,D9,,Greece,2020
141,A1060,Y17,110106,,H8,74.65,,CH,,R4,Greece,2020
142,A1060,Y17,110106,,H8,0.31,,NL,,R4,Greece,2020
143,A1060,Y17,110106,,H8,26.77,NL,IE,,R12,Greece,2020
144,A1060,Y17,110107,,H8,47.61,,AT,,R4,Greece,2020
145,A1060,Y17,110107,,H8,1425.19,,AT,,R5,Greece,2020
146,A1060,Y17,110107,,H8,1911.21,,BE,,R5,Greece,2020
147,A1060,Y17,110107,,H8,1749.1,,CH,,R5,Greece,2020
148,A1060,Y17,110107,,H8,195.09,,CZ,,R5,Greece,2020
149,A1060,Y17,110107,,H8,165.2,,FR,,R5,Greece,2020
150,A1060,Y17,110107,,H8,102.38,,LU,D15,,Greece,2020
151,A1060,Y17,110107,,H8,40.26,,LU,D9,,Greece,2020
152,A1060,Y17,110107,,H8,6944.67,,NL,,R5,Greece,2020
153,A1060,Y17,110107,,H8,2.72,AT,SI,,R4,Greece,2020
154,A1060,Y17,110107,,H8,180.2,NL,BE,,R5,Greece,2020
155,A1070,Y23,110202,,H12,1259.0,,BE,,R4,Greece,2020
156,A1080,Y23,60315,,H12,33.46,,CH,,R4,Greece,2020
157,A1080,Y23,60405,,H12,2575.52,,IT,,R4,Greece,2020
158,A1080,Y23,100503,,H12,229.9,,SE,,R4,Greece,2020
159,A1080,Y23,101011,,H12,983.52,BE,FR,,R4,Greece,2020
160,A1080,Y23,101011,,H12,680.19,"BE,CH",IT,,R4,Greece,2020
161,A1100,Y22,60405,,H12,169.5,,IT,,R4,Greece,2020
162,A1100,Y22,100603,,H12,28.95,,AT,,R4,Greece,2020
163,A1100,Y23,100603,,H12,1105.0,,BE,,R4,Greece,2020
164,A1100,Y24,100603,,H6.1,284.64,,BE,,R4,Greece,2020
165,A1120,Y22,110205,,H12,371.71,,BE,,R4,Greece,2020
166,A1130,Y17,110105,,H8,432.84,,RO,,R4,Greece,2020
167,A1130,Y17,110105,,H8,41.96,NL,BE,,R4,Greece,2020
168,A1130,Y17,110107,,H8,72.96,,CZ,,R13,Greece,2020
169,A1130,Y17,110107,,H8,21.18,cz,SK,,R13,Greece,2020
170,A1160,Y31,160601,,H8,683.73,,AT,,R4,Greece,2020
171,A1160,Y31,160601,,H8,20234.46,,ch,,R4,Greece,2020
172,A1160,Y31,160601,,H8,460.58,,CZ,,R4,Greece,2020
173,A1160,Y31,160601,,H8,218.79,,DK,,R4,Greece,2020
174,A1160,Y31,160601,,H8,571.88,,FR,,R4,Greece,2020
175,A1160,Y31,160601,,H8,1795.3,,lu,,R4,Greece,2020
176,A1160,Y31,160601,,H8,28653.06,,NL,,R4,Greece,2020
177,A1160,Y31,160601,,H8,287.11,,NO,,R4,Greece,2020
178,A1160,Y31,160601,,H8,549.76,BE,FR,,R4,Greece,2020
179,A1160,Y31,160601,,H8,1286.18,NL,BE,,R4,Greece,2020
180,A1170,Y26,160602,,H6.1,2.74,,AT,,R4,Greece,2020
181,A1170,Y26,160602,,H6.1,36.19,,BE,,R4,Greece,2020
182,A1170,Y26,160602,,H6.1,266.24,,CH,,R4,Greece,2020
183,A1170,Y26,160602,,H6.1,287.42,,NL,D1,,Greece,2020
184,A1170,Y26,160602,,H6.1,191.59,,NO,,R4,Greece,2020
185,A1170,Y26,160602,,H6.1,26.53,"HU,AT",RO,,R4,Greece,2020
186,A1170,Y26,160602,,H6.1,73.17,NL,IE,,R4,Greece,2020
187,A1170,Y26,160602,,H6.1,134.55,"SI,AT",HR,,R12,Greece,2020
188,A1170,,160121,Lithium batteries,H4.2,6.2,,BE,,R13,Greece,2020
189,A1170,,160121,Lithium batteries,H4.2,12.26,,CH,,R4,Greece,2020
190,A1170,,160121,Lithium batteries,H4.2,11.55,,CZ,,R4,Greece,2020
191,A1170,,160121,Lithium batteries,H4.2,135.87,,NL,,R4,Greece,2020
192,A1170,,200133,,H12,2385.2,,AT,,R12,Greece,2020
193,A1170,,200133,,H12,384.08,,AT,,R4,Greece,2020
194,A1170,,200133,,H12,47.7,,ES,,R4,Greece,2020
195,A1170,,200133,,H12,33.61,,IL,,R4,Greece,2020
196,A1170,,200133,,H12,350.29,,NL,,R4,Greece,2020
197,A1170,,200133,,H12,16.26,,SI,,R12,Greece,2020
198,A1170,,200133,,H12,107.25,AT,SI,,R12,Greece,2020
199,A1170,,200133,,H12,3.25,"CI,ES,BE,NL",CM,,R4,Greece,2020
200,A1170,,200133,,H6.1,362.83,,AT,,R4,Greece,2020
201,A1170,,200133,,H6.1,36.24,,IL,,R4,Greece,2020
202,A1170,,200133,,H6.1,42.15,,NL,,R4,Greece,2020
203,A1170,,200133,,H6.1,17.17,,RS,,R4,Greece,2020
204,A1170,,200133,,H6.1,44.14,"ES,GB,NL",IL,,R4,Greece,2020
205,A1180,Y6,160211,,H12,98.52,,SE,,R3,Greece,2020
206,A1180,Y6,200123,,H12,373.46,,BE,,R12,Greece,2020
207,A1180,Y6,200123,,H12,3195.2,,BE,,R4,Greece,2020
208,A1180,Y6,200123,,H12,1148.04,,LU,,R12,Greece,2020
209,A1180,Y6,200123,,H12,12087.78,,NL,,R12,Greece,2020
210,A1180,Y6,200123,,H12,863.96,,NL,,R3,Greece,2020
211,A1180,Y6,200123,,H12,4376.84,,NL,,R4,Greece,2020
212,A1180,,160213,,H12,360.04,,AT,,R12,Greece,2020
213,A1180,,160213,,H12,19.1,,AT,,R4,Greece,2020
214,A1180,,160213,,H12,1113.15,,AT,,R5,Greece,2020
215,A1180,,160213,,H12,3.1,,BE,,R4,Greece,2020
216,A1180,,160213,,H12,22.8,,CH,,R4,Greece,2020
217,A1180,,160213,,H12,2965.56,,DK,,R12,Greece,2020
218,A1180,,160213,,H12,41.4,,DK,,R4,Greece,2020
219,A1180,,160213,,H12,19.2,,FI,,R4,Greece,2020
220,A1180,,160213,,H12,2.71,,IE,D10,,Greece,2020
221,A1180,,160213,,H12,179.79,,LU,,R12,Greece,2020
222,A1180,,160213,,H12,300.58,,LU,,R4,Greece,2020
223,A1180,,160213,,H12,34.22,,NL,,R12,Greece,2020
224,A1180,,160213,,H12,74.99,,NL,,R4,Greece,2020
225,A1180,,160213,,H12,0.5,,NL,D10,,Greece,2020
226,A1180,,160213,,H12,694.86,,NO,,R12,Greece,2020
227,A1180,,160213,,H12,26.5,,NO,,R4,Greece,2020
228,A1180,,160213,,H12,12.4,,SE,,R4,Greece,2020
229,A1180,,160213,,H12,8.04,BE,FR,,R12,Greece,2020
230,A1180,,160213,,H12,15.98,FR,CH,D14,,Greece,2020
231,A1180,,160213,,H12,816.54,NL,IE,,R4,Greece,2020
232,A1180,,160213,,H12,1.34,NL,IE,D10,,Greece,2020
233,A1180,,160213,,H12,282.5,SE,NO,,R12,Greece,2020
234,A1180,,160215,,H12,108.92,,GB,,R4,Greece,2020
235,A1180,,200135,,H12,1150.5,,AT,,R4,Greece,2020
236,A1180,,200135,,H12,163.0,,AT,,R5,Greece,2020
237,A1180,,200135,,H12,648.03,,CH,,R4,Greece,2020
238,A1180,,200135,,H12,15659.35,,DK,,R12,Greece,2020
239,A1180,,200135,,H12,251.31,,IS,,R5,Greece,2020
240,A1180,,200135,,H12,98.08,,LU,,R4,Greece,2020
241,A1180,,200135,,H12,3207.99,,NL,,R12,Greece,2020
242,A1180,,200135,,H12,1472.8,,NL,,R4,Greece,2020
243,A1180,,200135,,H12,75.12,,UY,,R5,Greece,2020
244,A1180,,200135,,H12,1017.8,NL,GB,,R12,Greece,2020
245,A1180,,200135,,H12,19.62,NL,IS,,R5,Greece,2020
246,A1190,,170410,,H12,87.33,,AT,,R12,Greece,2020
247,A1190,,170410,,H12,176.02,,AT,,R4,Greece,2020
248,A1190,,170410,,H12,863.4,,CH,,R4,Greece,2020
249,A1190,,170410,,H12,363.06,SE,NO,,R4,Greece,2020
250,A2010,Y31,160215,,H12,1280.74,,AT,,R5,Greece,2020
251,A2010,Y31,160215,,H12,2764.72,,BE,,R5,Greece,2020
252,A2010,Y31,160215,,H12,958.36,,CH,,R5,Greece,2020
253,A2010,Y31,160215,,H12,741.03,,CZ,,R5,Greece,2020
254,A2010,Y31,160215,,H12,215.74,,DK,,R5,Greece,2020
255,A2010,Y31,160215,,H12,445.28,,GR,,R5,Greece,2020
256,A2010,Y31,160215,,H12,449.46,,HU,,R5,Greece,2020
257,A2010,Y31,160215,,H12,894.08,,IE,,R5,Greece,2020
258,A2010,Y31,160215,,H12,10.83,,IE,D10,,Greece,2020
259,A2010,Y31,160215,,H12,585.14,,LT,,R5,Greece,2020
260,A2010,Y31,160215,,H12,143.86,,LU,,R5,Greece,2020
261,A2010,Y31,160215,,H12,121.4,,PT,,R5,Greece,2020
262,A2010,Y31,160215,,H12,492.77,,RO,,R5,Greece,2020
263,A2010,Y31,160215,,H12,2575.65,,RS,,R5,Greece,2020
264,A2010,Y31,160215,,H12,126.68,,SI,,R5,Greece,2020
265,A2010,Y31,160215,,H12,273.51,,US,,R5,Greece,2020
266,A2010,Y31,160215,,H12,496.59,AT,SI,,R5,Greece,2020
267,A2010,Y31,160215,,H12,760.48,"AT,CZ",HU,,R5,Greece,2020
268,A2010,Y31,160215,,H12,93.61,"BG,RO,HU,SK,CZ",GR,,R5,Greece,2020
269,A2010,Y31,160215,,H12,593.13,CZ,AT,,R5,Greece,2020
270,A2010,Y31,160215,,H12,151.81,"HU,AT,CZ",RO,,R5,Greece,2020
271,A2010,Y31,160215,,H12,23.0,"HU,SK,CZ",RO,,R5,Greece,2020
272,A2010,Y31,160215,,H12,64.68,"HU,SK,CZ",RO,,R5,Greece,2020
273,A2010,Y31,160215,,H12,286.64,NL,IE,,R5,Greece,2020
274,A2010,Y31,160215,,H12,118.91,PL,LT,,R5,Greece,2020
275,A2030,Y18,60315,,H12,18.64,,GB,,R4,Greece,2020
276,A2030,Y22,60313,,H12,172.33,,GB,,R4,Greece,2020
277,A2030,Y23,60405,,H12,81.53,,GB,,R4,Greece,2020
278,A2030,Y23,160807,,H12,43.44,,AT,,R4,Greece,2020
279,A2030,,60315,,H12,70.6,,GB,,R4,Greece,2020
280,A2030,,60315,,H12,2.9,NL,BE,,R4,Greece,2020
281,A2030,,160802,,H11,110.3,,CZ,,R4,Greece,2020
282,A2030,,160802,,H12,61.4,,AT,,R4,Greece,2020
283,A2030,,160802,,H12,102.26,,AT,,R8,Greece,2020
284,A2030,,160802,,H12,6.0,,BE,,R13,Greece,2020
285,A2030,,160802,,H12,55.86,,BE,,R4,Greece,2020
286,A2030,,160802,,H12,87.03,,CH,,R4,Greece,2020
287,A2030,,160802,,H12,12.46,,CZ,,R4,Greece,2020
288,A2030,,160802,,H12,132.28,,DK,,R4,Greece,2020
289,A2030,,160802,,H12,283.2,,FI,,R4,Greece,2020
290,A2030,,160802,,H12,156.38,,FR,,R4,Greece,2020
291,A2030,,160802,,H12,80.19,,GB,,R4,Greece,2020
292,A2030,,160802,,H12,14.91,,IT,,R4,Greece,2020
293,A2030,,160802,,H12,161.72,,NL,,R4,Greece,2020
294,A2030,,160802,,H12,28.54,,PL,,R4,Greece,2020
295,A2030,,160802,,H12,17.54,AT,IT,,R4,Greece,2020
296,A2030,,160802,,H12,2457.54,BE,LU,,R4,Greece,2020
297,A2030,,160802,,H12,83.09,FR,ES,,R4,Greece,2020
298,A2030,,160802,,H12,57.96,IL,TR,,R4,Greece,2020
299,A2030,,160802,,H12,721.26,"RO,HU,SK,CZ",BG,,R4,Greece,2020
300,A2030,,160802,,H12,206.77,SE,NO,,R4,Greece,2020
301,A2030,,160802,,H3,222.66,,FR,,R4,Greece,2020
302,A2030,,160802,,H3,39.39,,FR,,R8,Greece,2020
303,A2030,,160802,,H4.2,37.61,,CA,,R4,Greece,2020
304,A2030,,160802,,H4.2,107.31,,IT,,R4,Greece,2020
305,A2030,,160802,,H4.2,126.17,,LU,,R4,Greece,2020
306,A2030,,160802,,H4.2,1082.32,,NL,,R4,Greece,2020
307,A2030,,160802,,H4.2,537.46,,SE,,R4,Greece,2020
308,A2030,,160802,,H4.2,31.25,,SG,,R4,Greece,2020
309,A2030,,160802,,H4.2,43.29,AT,HU,,R4,Greece,2020
310,A2030,,160802,,H6.1,234.33,AT,IT,,R4,Greece,2020
311,A2030,,160807,,H11,15.56,,AT,,R13,Greece,2020
312,A2030,,160807,,H11,199.96,,FR,,R12,Greece,2020
313,A2030,,160807,,H12,43.78,,AT,,R4,Greece,2020
314,A2030,,160807,,H12,35.12,,CH,,R13,Greece,2020
315,A2030,,160807,,H12,0.97,,CZ,,R4,Greece,2020
316,A2030,,160807,,H12,5.43,,FI,,R4,Greece,2020
317,A2030,,160807,,H12,928.39,,FR,,R4,Greece,2020
318,A2030,,160807,,H12,452.5,,FR,,R8,Greece,2020
319,A2030,,160807,,H12,0.1,,IE,,R4,Greece,2020
320,A2030,,160807,,H12,189.8,,NL,,R4,Greece,2020
321,A2030,,160807,,H12,58.94,,PL,,R4,Greece,2020
322,A2030,,160807,,H12,4.55,,SE,,R4,Greece,2020
323,A2030,,160807,,H12,61.01,AT,HU,,R4,Greece,2020
324,A2030,,160807,,H12,818.64,DK,NO,,R4,Greece,2020
325,A2030,,160807,,H12,44.82,NL,IE,,R4,Greece,2020
326,A2030,,160807,,H3,26.61,,FI,,R4,Greece,2020
327,A2030,,160807,,H4.1,11.87,,AT,D10,,Greece,2020
328,A2030,,160807,,H4.1,25.23,,IE,,R4,Greece,2020
329,A2030,,160807,,H4.2,24.3,,PL,,R4,Greece,2020
330,A2030,,160807,,H6.1,115.98,,BE,,R13,Greece,2020
331,A2030,,160807,,H6.1,3.46,,CH,,R4,Greece,2020
332,A2030,,160807,,H6.1,39.58,,HU,,R13,Greece,2020
333,A2030,,160807,,H6.1,18.97,,RO,,R13,Greece,2020
334,A2030,,160807,,H6.1,173.86,,SA,,R13,Greece,2020
335,A2030,,160807,,H8,240.01,,BE,,R4,Greece,2020
336,A2030,,160807,,H8,154.71,,ES,,R13,Greece,2020
337,A2040,Y35,60903,,H8,200.64,CH,IT,D10,,Greece,2020
338,A2050,Y36,170507,,H11,72326.96,,IT,D1,,Greece,2020
339,A2050,Y36,170507,,H11,8103.78,AT,IT,D1,,Greece,2020
340,A2050,Y36,170507,,H11,16979.99,CH,it,D1,,Greece,2020
341,A2050,Y36,170601,,H11,215.46,,IT,D1,,Greece,2020
342,A2050,Y36,170601,,H11,71.12,,IT,D12,,Greece,2020
343,A2050,Y36,170601,,H11,11.3,,LU,D1,,Greece,2020
344,A2050,Y36,170601,,H11,601.26,AT,IT,D1,,Greece,2020
345,A2050,Y36,170601,,H11,160.11,AT,IT,D12,,Greece,2020
346,A2050,Y36,170601,,H11,6.2,"TR,IT,ES,PT,FR",GR,D1,,Greece,2020
347,A2050,Y36,170605,,H11,2.68,,CH,D12,,Greece,2020
348,A2050,Y36,170605,,H11,165.1,,GR,D1,,Greece,2020
349,A2050,Y36,170605,,H11,22.58,,HR,D1,,Greece,2020
350,A2050,Y36,170605,,H11,1070.04,,IE,D1,,Greece,2020
351,A2050,Y36,170605,,H11,3230.65,,IT,D1,,Greece,2020
352,A2050,Y36,170605,,H11,233.82,,IT,D12,,Greece,2020
353,A2050,Y36,170605,,H11,332.64,,lu,D1,,Greece,2020
354,A2050,Y36,170605,,H11,1439.44,AT,IT,D1,,Greece,2020
355,A2050,Y36,170605,,H11,23.84,"AT,CH",IT,D1,,Greece,2020
356,A2050,Y36,170605,,H11,18.44,"BE,NL",IE,D1,,Greece,2020
357,A2050,Y36,170605,,H11,371.16,CH,IT,D1,,Greece,2020
358,A2050,Y36,170605,,H11,973.8,"GB,DK",IE,D1,,Greece,2020
359,A3020,Y8,120107,,H6.1,71.54,,IE,,R12,Greece,2020
360,A3020,Y8,120107,,H6.1,107.78,NL,IE,,R12,Greece,2020
361,A3020,Y8,130110,,H6.1,206.23,CZ,SK,,R9,Greece,2020
362,A3020,Y8,130204,,H6.1,12.3,AT,IT,D10,,Greece,2020
363,A3020,Y8,130205,,H6.1,16180.67,,AT,,R9,Greece,2020
364,A3020,Y8,130205,,H6.1,22227.14,,BE,,R9,Greece,2020
365,A3020,Y8,130205,,H6.1,1452.25,,CH,,R9,Greece,2020
366,A3020,Y8,130205,,H6.1,1236.15,,CZ,,R9,Greece,2020
367,A3020,Y8,130205,,H6.1,3522.02,,DK,,R9,Greece,2020
368,A3020,Y8,130205,,H6.1,6229.9,,FR,,R9,Greece,2020
369,A3020,Y8,130205,,H6.1,117.46,,LU,,R9,Greece,2020
370,A3020,Y8,130205,,H6.1,18441.28,,NL,,R13,Greece,2020
371,A3020,Y8,130205,,H6.1,10534.44,,NL,,R9,Greece,2020
372,A3020,Y8,130205,,H6.1,12957.4,,PL,,R9,Greece,2020
373,A3020,Y8,130205,,H6.1,13677.72,,SE,,R9,Greece,2020
374,A3020,Y8,130205,,H6.1,1915.06,AT,SI,,R9,Greece,2020
