,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_destination,annex_4_a,annex_4_b,country,year
66,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,"3,4.1","H3,H4.1","Inflammable liquids
Inflammable solids",1608.69,,NL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
67,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,"3,4.1","H3,H4.1","Inflammable liquids
Inflammable solids",743.86,,NL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
68,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,"3,4.1","H3,H4.1","Inflammable liquids
Inflammable solids",672.88,NL,DE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
69,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,"3,4.1","H3,H4.1","Inflammable liquids
Inflammable solids",64.68,NL,DE,,R12,United Kingdom of Great Britain and Northern Ireland,2015
70,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,"3,4.1",H3A,Highly flammable,1452.77,,NL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
71,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,"3,4.1",H4.1,Inflammable solids,317.51,NL,DE,,R13,United Kingdom of Great Britain and Northern Ireland,2015
72,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,"3,4.1,6.1,8","H3,H4.1,H6.1,H8","Inflammable liquids
Inflammable solids
Poisonous(acute)
Corrosives",940.59,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
73,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,4.1,H4.1,Inflammable solids,247.17,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
74,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,4.1,H4.1,Inflammable solids,2121.989,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
75,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,4.1,H4.1,Inflammable solids,54.14,,NL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
76,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,,"H3,H6.1,H8","Inflammable liquids
Poisonous(acute)
Corrosives",513.27,NL,DE,,R12,United Kingdom of Great Britain and Northern Ireland,2015
77,"Y12,Y13","A3050 Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020) ",,"3,4.1,6.1","H3,H4.1,H6.1","Inflammable liquids
Inflammable solids
Poisonous(acute)",147.04,NL,DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
78,"Y12,Y13","A3050 Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020) ",,"3,6.1","H3,H6.1","Inflammable liquids
Poisonous(acute)",97.3,NL,DE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
79,"Y12,Y13",A4130 Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics ,,,"H3,H4.1,H9","Inflammable liquids
Inflammable solids",1397.66,NL,BE,,"R1,R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2015
80,Y13,"A3050 Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020) ",,"3,4.1,6.1,8","H3,H4.1,H6.1,H8","Inflammable liquids
Inflammable solids
Poisonous(acute)
Corrosives",936.02,,NL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
81,Y13,"A3050 Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020) ",,"3,4.1,6.1,8","H4.1,H6.1,H8","Inflammable solids
Poisonous(acute)
Corrosives",545.1699,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
82,Y13,"A3050 Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020) ",,"3,4.1,6.1,8,9","H3,H4.1,H6.1,H8,H12","Inflammable liquids
Inflammable solids
Poisonous(acute)
Corrosives
Ecotoxic",376.63,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
83,Y13,"A3050 Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020) ",,"3,6.1,9","H3,H6.1,H12","Inflammable liquids
Poisonous(acute)
Ecotoxic",277.33,NL,DE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
84,Y13,"A3050 Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020) ",,,"H3,H6.1","Inflammable liquids
Poisonous(acute)",326.5299,NL,DE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
85,Y14,Laboratory waste,,"3,4.1,6.1,8","H3,H4.1,H6,H8","Inflammable liquids
Inflammable solids
Toxic
Corrosives",217.85,,NL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
86,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,,,0.49,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
87,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,,,4.73,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
88,Y16,"AD090 Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included. ",,,,,2.19,BE,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
89,Y17,AB030 Wastes from non-cyanide based systems which arise from surface treatment of metals. ,,6.1,H6.1,Poisonous(acute),22.0,,NL,,"R4,R13",United Kingdom of Great Britain and Northern Ireland,2015
90,Y17,AB130 Used blasting grit. ,,,,Not applicable,70.23,"FR,BE",DE,,"R4,R5",United Kingdom of Great Britain and Northern Ireland,2015
91,Y17,Hard metal powder residue and sludge,,9,H11,Toxic(delayed or chronic),231.52,"BE,DE,FR",AT,,R4,United Kingdom of Great Britain and Northern Ireland,2015
92,Y17,A1050 Galvanic sludges ,,9,"H11,H12","Toxic(delayed or chronic)
Ecotoxic",405.55,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
93,Y17,A1050 Galvanic sludges ,,9,"H11,H12","Toxic(delayed or chronic)
Ecotoxic",183.61,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
94,Y17,A1050 Galvanic sludges ,,9,"H11,H12","Toxic(delayed or chronic)
Ecotoxic",51.24,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
95,Y17,A1050 Galvanic sludges ,,,,Not applicable,75.31,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
96,Y17,A1050 Galvanic sludges ,,,,Not applicable,18.43,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
97,Y17,AB030 Wastes from non-cyanide based systems which arise from surface treatment of metals. ,,9,H11,Toxic(delayed or chronic),42.3,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
98,Y17,AB030 Wastes from non-cyanide based systems which arise from surface treatment of metals. ,,9,H11,Toxic(delayed or chronic),259.2099,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
99,Y17,AB130 Used blasting grit. ,,,,Not applicable,92.7,"BE,FR,NL",DE,,"R4,R5",United Kingdom of Great Britain and Northern Ireland,2015
100,Y18,A4160 Spent activated carbon not included on list B,,4.1,H4.1,Inflammable solids,291.8,,DE,,R7,United Kingdom of Great Britain and Northern Ireland,2015
101,Y18,End of life material after mechanical treatment,,,,Not applicable,1391.24,,FR,,"R1,R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
102,Y18,Filtercake and sludges,,,H12,Ecotoxic,647.08,NL,BE,,"R1,R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2015
103,Y18,Fluff light fraction from shredding of metal containing wastes (non hazardous),,,,Not applicable,2359.29,FR,BE,,R12,United Kingdom of Great Britain and Northern Ireland,2015
104,Y18,Heavy shredder fraction,,,,Not applicable,925.43,FR,BE,,R12,United Kingdom of Great Britain and Northern Ireland,2015
105,Y18,Material after mechanical treatment,,,,Not applicable,3239.53,"FR,BE",BE,,"R5,R12",United Kingdom of Great Britain and Northern Ireland,2015
106,Y18,Shredder residue,,,,Not applicable,374.8,FR,BE,,R12,United Kingdom of Great Britain and Northern Ireland,2015
107,Y18,Waste centrifuge cake,,,,,24.18,FR,BE,,"R5,R12",United Kingdom of Great Britain and Northern Ireland,2015
108,Y18,A1050 Galvanic sludges ,,9,H12,Ecotoxic,54.21,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
109,Y18,A2030 Waste catalysts but excluding such wastes specified on list B ,,4.1,H4.1,Inflammable solids,17.45,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
110,Y18,A2030 Waste catalysts but excluding such wastes specified on list B ,,9,H12,Ecotoxic,19.97,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
111,Y18,A4130 Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics ,,4.1,H4.1,Inflammable solids,513.5499,NL,DE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
112,Y18,A4160 Spent activated carbon not included on list B,,,,Not applicable,349.04,,BE,,R7,United Kingdom of Great Britain and Northern Ireland,2015
113,Y18,A4160 Spent activated carbon not included on list B,,,,Not applicable,196.05,FR,BE,,R7,United Kingdom of Great Britain and Northern Ireland,2015
114,Y18,A4160 Spent activated carbon not included on list B,,,,Not applicable,350.59,FR,BE,,R7,United Kingdom of Great Britain and Northern Ireland,2015
115,Y18,A4160 Spent activated carbon not included on list B,,,,Not applicable,27.92,FR,BE,,R7,United Kingdom of Great Britain and Northern Ireland,2015
116,Y18,A4160 Spent activated carbon not included on list B,,,,Not applicable,17.0,FR,BE,,R7,United Kingdom of Great Britain and Northern Ireland,2015
117,Y18,Fragmentised non-ferrous metal fluff,,,,Not applicable,590.98,FR,BE,,"R3,R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
118,Y18,Fragmentised non-ferrous metal shredder fluff,,,,Not applicable,4726.93,FR,BE,,"R3,R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
119,Y18,Refuse derived fuel (RDF),,,,Not applicable,2363.81,FR,BE,,"R3,R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
120,Y18,Tin Bearing Residues,,9,H11,Toxic(delayed or chronic),17.47,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
121,Y2,"A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,"3,6.1","H3,H6.1","Inflammable liquids
Poisonous(acute)",392.23,,DE,,R3,United Kingdom of Great Britain and Northern Ireland,2015
122,"Y2,Y3","A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,H14,,74.92,NL,DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
123,"Y2,Y3","A4010 Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B ",,,,Not applicable,75.02,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
124,Y22,"A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,,H12,Ecotoxic,32.5,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
125,Y22,A1050 Galvanic sludges ,,9,H12,Ecotoxic,134.97,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
126,Y22,Copper Filter Press Cake,,8,H8,Corrosives,74.89,NL,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
127,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,4.2,H4.2,Substances or wastes liable to spontaneous combustion,15.65,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
128,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,9,"H11,H12","Toxic(delayed or chronic)
Ecotoxic",59.3,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
129,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,9,H12,Ecotoxic,106.45,FR,IT,,R4,United Kingdom of Great Britain and Northern Ireland,2015
130,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,,H12,Ecotoxic,38.04,FR,IT,,R4,United Kingdom of Great Britain and Northern Ireland,2015
131,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,"4.2,9","H4.2,H12","Substances or wastes liable to spontaneous combustion
Ecotoxic",41.94,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
132,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,"4.2,9","H4.2,H12","Substances or wastes liable to spontaneous combustion
Ecotoxic",360.73,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
133,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,9,H12,Ecotoxic,237.72,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
134,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,9,H12,Ecotoxic,44.75,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
135,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,9,H12,Ecotoxic,30.72,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
136,"Y22,Y23",A2030 Waste catalysts but excluding such wastes specified on list B ,,,H12,Ecotoxic,14.77,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
137,"Y22,Y23,Y29",A2030 Waste catalysts but excluding such wastes specified on list B ,,"4.2,9","H4.2,H12","Substances or wastes liable to spontaneous combustion
Ecotoxic",147.7299,DE,CH,,R4,United Kingdom of Great Britain and Northern Ireland,2015
138,"Y22,Y23,Y31","A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,9,H12,Ecotoxic,205.32,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
139,"Y22,Y23,Y31","A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,,H12,Ecotoxic,427.32,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
140,Y23,"A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,9,"H11,H12","Toxic(delayed or chronic)
Ecotoxic",177.62,FR,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
141,Y23,"A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,9,H12,Ecotoxic,158.72,FR,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
142,Y23,A2030 Waste catalysts but excluding such wastes specified on list B ,,9,"H11,H12","Toxic(delayed or chronic)
Ecotoxic",199.34,,NL,,"R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
143,Y23,A2030 Waste catalysts but excluding such wastes specified on list B ,,9,"H11,H12","Toxic(delayed or chronic)
Ecotoxic",60.19,DE,CH,,R4,United Kingdom of Great Britain and Northern Ireland,2015
144,Y23,"AA010 Dross, scalings and other wastes from the manufacture of iron or steel",,9,H12,Ecotoxic,770.12,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
145,Y23,"AA010 Dross, scalings and other wastes from the manufacture of iron or steel",,9,H12,Ecotoxic,143.37,FR,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
146,Y23,"AA010 Dross, scalings and other wastes from the manufacture of iron or steel",,9,H12,Ecotoxic,150.52,"FR,BE",NL,,"R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
147,"Y23,Y31","A1020 Waste having as constituents or contaminants, excluding metal waste in massive form, 1020 and the note on B1020 in Annex III to this Regulation, Part 1(b)- Tellurium; tellurium compounds",,,H12,Ecotoxic,377.58,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
148,Y26,A1170 Unsorted waste batteries excluding mixtures of only list B batteries. Waste batteries not specified on list B containing Annex I constituents to an extent to render them hazardous ,,8,H8,Corrosives,487.71,,FR,,R4,United Kingdom of Great Britain and Northern Ireland,2015
149,Y26,Nickel cadmium cells containing potassium hydroxide,,8,H8,Corrosives,33.82,,FR,,R4,United Kingdom of Great Britain and Northern Ireland,2015
