"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
A1020,Y31,A1020,Lead Waste and Scrap derived from Used Lead Acid Batteries,"H11,H12",12000.0,"SG,MY,SA,EG,IT,LK,MT",ES,,R4,Australia
A3170,Y41,A3170,Hexachlorobenzene  and chlorinated waste,"H6.1,H12",1650.0,,FI,D10,,Australia
A3170,Y41,A3170,Crushed and shredded packing contaminated with hexachlorobenzene and other chlorinated waste,"H6.1,H12",350.0,,FI,D10,,Australia
A1160,Y31,A1160,Lead Waste and Scrap derived from Used Lead Acid Batteries,"H11,H12",5000.0,JP,KR,,R4,Australia
A1160,Y31,A1160,Lead Waste and Scrap derived from Used Lead Acid Batteries,"H11,H12",9000.0,JP,KR,,R4,Australia
A1020,Y31,A1020,Lead Waste and Scrap derived from Used Lead Acid Batteries,"H11,H12",18000.0,"SG,MY,LK,EG,GR,ES,GB,NL,DE",PL,,R4,Australia
A1160,Y31,A1160,Lead Waste and Scrap derived from Used Lead Acid Batteries,"H11,H12",4200.0,JP,KR,,R4,Australia
A2030,Y22,A2030,Spent catalyst contaning copper oxides,H12,20.0,"MY,EG,PT,BE,NL",DE,,R4,Australia
A1160,Y31,A2030,Lead Waste and Scrap derived from Used Lead Acid Batteries,"H11,H12",3000.0,JP,KR,,R4,Australia
A2030,"Y22,Y23",A2030,Spent catalyst contaning copper and zinc oxides,H12,150.0,"MY,EG,PT,BE,NL",DE,,R4,Australia
A1020,Y31,A1020,Lead Waste and Scrap derived from Used Lead Acid Batteries,"H11,H12",18000.0,"SG,ID,MY",PH,,R4,Australia
A1020,Y31,A1020,Lead Waste and Scrap derived from Used Lead Acid Batteries,"H11,H12",10000.0,"SG,MY,EG,TR",BG,,R4,Australia
A1170,"Y18,Y35,Y42",A1170,Used lithium ion batteries,"H3,H8,H10,H13",360.0,,SG,,R4,Australia
A1170,Y26,A1170,Spent nickel cadmium batteries,H8,260.0,,KR,,R4,Australia
A3140,Y42,14 06 03*,solvents,,442.57,,DE ,,R1,Austria
A3140,Y42,14 06 03*,solvents,H3,2680.3,,DE ,,R2,Austria
,Y18,10 03 08*,salt slag,H12,17706.5,,DE ,,R5,Austria
,Y45,14 06 01*,CFCs,H12,31.097,,DE,,R3,Austria
A1050,Y17,19 02 05*,galvanic sludge,"H11,H12",93.55,,DE,,R4,Austria
A1060,Y23,11 01 05*,etching solutions,"H8,H12",524.9,,DE,,R5,Austria
A3020,Y8,13 02 05*,waste oil,H13,121.5,CZ,PL ,,R9,Austria
A1050,Y17,11 01 09*,galvanic sludge,H11,70.08,"DE,NL",BE ,,R4,Austria
A2030,Y22,16 08 07*,spent catalysts,"H12,H13",112.02,,DE,,R4,Austria
A3150,Y41,14 06 02*,halogenated solvents,H6.1,407.149,,DE,,R2,Austria
A4140,Y29,16 05 06*,test kits,H6.1,18.93,,DE,,R5,Austria
A1050,Y17,11 01 09*,galvanic sludge,H12,99.08,DE,NL,,R4,Austria
A1100,Y31,10 06 03*,filter dusts,"H11,H13",1914.09,"DE,NL",BE,,R4,Austria
A1160,Y31,16 06 01*,LAB,"H8,H11",771.681,,DE,,R4,Austria
A1030,Y29,18 01 10*,amalgam waste,H12,46.613,,DE,,R4,Austria
A3140,Y2,07 05 04*,solvents,H3,622.17,"DE,NL",BE,,R2,Austria
,Y18,17 06 03*,mineral fibers,H11,9.3,,DE,,R5,Austria
A1160,Y31,16 06 01*,LAB,"H8,H11",258.305,"HU,RO",BG,,R4,Austria
A1120,Y31,11 02 05*,metal sludge,H12,394.855,DE,BE ,,R4,Austria
A3020,Y8,13 02 05*,waste oil,H12,649.54,,IT,,R9,Austria
A4100,Y18,16 10 02,concentrates,H13,36.62,,DE,,R5,Austria
A4100,Y23,10 02 07*,steelmill dust,"H11,H12",18761.44,CZ,PL,,R4,Austria
,Y17,12 01 14*,metal sludge,H13,259.138,,DE,,R4,Austria
A1060,Y17,06 03 13*,metal concentrates,H11,47.61,,DE,,R4,Austria
,Y18,19 02 05*,C/P-sludge,"H11,H12",1151.62,"SK,PL",FI ,,R4,Austria
A1160,Y31,16 06 01*,LAB,"H8,H11",3194.159,,SI,,R4,Austria
A3140,Y2,07 05 04*,solvents,"H3,H12",412.2,,DE,,R2,Austria
A1060,Y23,11 01 05*,pickling solution,"H8,H12",1103.24,,DE,,R4,Austria
A4090,Y18,06 03 13*,heavy metal bearig waste,H11,114.2,DE,NL,,R4,Austria
A1030,Y29,16 06 03*,mercury batteries ,"H8,H12",0.449,,DE,,R13,Austria
A1010,Y29,18 01 10*,amalgam waste,H12,0.2,,DE,,R13,Austria
A3180,Y10,16 02 09*,PCB containing equipment,H12,414.107,,DE,D9,,Austria
,Y45,20 01 23*,CFC containing equipment,H12,34.74,,IT,,R4,Austria
,Y18,10 01 04*,vanadium ash,H11,417.29,,DE,,R4,Austria
A1050,Y17,11 01 09*,galvanic sludge,H11,2577.884,,DE,,R4,Austria
,Y18,17 02 04*,creosote impregnated wood,H6.1,11331.05,,DE,,R1,Austria
A4070,Y12,19 12 11*,mixed paint containing wastes,H4.1,47.0,,DE,,R3,Austria
A4130,,16 05 04*,gas cylinders,H12,0.146,,DE,D10,,Austria
A4130,Y45,16 05 04*,fire extiguisher,H12,35.3,,DE,D13,,Austria
A1190,Y11,17 04 10*,cabel,H13,263.354,,DE,,R12,Austria
A4160,Y45,15 02 02*,activated carbon,H12,102.38,DE,BE,,R7,Austria
A4100,Y23,10 09 10,filter dust,H12,36.0,,DE,,R4,Austria
,,10 08 10*,skimmings,H4.3,8.72,,DE,D12,,Austria
A3050,Y13,16 03 05*,paint residues,H3,404.96,DE,BE ,,R12,Austria
A1170,Y42,16 06 05,lithium batteries,H8,282.43,,DE,,R12,Austria
A1170,Y26,16 06 02*,Ni-Cd-batteries,H8,2.476,,DE,,R4,Austria
A3140,Y6,07 05 04*,solvents,H3,210.46,DE,FR ,,R2,Austria
A4010,Y2,07 05 01*,concentrates,H12,13.86,,DE,,R5,Austria
A3140,Y42,14 06 03*,solvents,H3,1113.09,,DE,D10,,Austria
A3140,Y42,14 06 03*,solvents,H3,525.64,,DE,,R12,Austria
A4080,Y15,16 01 10*,explosives,H1,5.513,,DE,D10,,Austria
A4130,Y12,15 01 10*,packaging waste,H3,21.86,,DE,,R4,Austria
A4090,Y34,06 01 01*,sulfuric acid,H8,530.64,,DE,,R6,Austria
,Y18,19 12 11*,premixed wastes,H4.1,620.18,,DE,D10,,Austria
A1170,Y42,16 06 05,lithium batteries,H3,113.226,,DE,,R4,Austria
A1180,Y31,16 02 13*,E-waste,H13,1493.41,,DE,,R4,Austria
A3140,Y42,15 02 02*,wipes,H4.1,1.653,,DE,,R4,Austria
A4050,Y33,11 01 98*,cyanides,H6.1,0.164,,DE,,R4,Austria
A3140,Y42,14 06 05*,metall bearing sludges,H3,0.241,,DE,,R4,Austria
A4060,Y31,11 01 11*,rinsing water,H12,0.229,,DE,,R4,Austria
A3020,Y8,13 02 05*,waste oil,H12,330.78,"HU,RO",BG,,R9,Austria
A2010,Y18,16 02 15*,monitor glass,H13,1921.67,,DE,,R5,Austria
A3140,Y12,07 01 04*,solvents,H3,38.54,,DE,,R2,Austria
,Y18,15 02 02*,waste from craft shops,H4.1,1219.19,,DE,,R1,Austria
,Y5,17 02 04*,impregnated wood,H11,4811.42,,DE,,R12,Austria
,,10 10 03,Ni-slag,H11,63.092,,DE,,R4,Austria
,Y18,19 12 11*,premixed wastes,H4.1,523.14,DE,BE,,R12,Austria
,Y18,10 08 08*,salt slag,H4.3,303.36,,DE,,R4,Austria
A3140,Y42,19 02 08*,solvents,H3,1425.96,,HU,,R1,Austria
A1030,Y29,20 01 21*,flurescent tubes,H12,34.242,,DE,,R4,Austria
A1080,Y23,10 10 09*,filter dusts,H11,46.53,,DE,,R4,Austria
,Y18,10 03 08*,salt slag,H13,11860.39,DE,FR ,,R5,Austria
A4060,Y31,11 01 11*,emulsions,H12,2.918,DE,NL,,R4,Austria
A1020,Y31,16 03 03*,ceramics,H12,8.881,DE,NL,,R4,Austria
A3050,Y13,08 04 09*,uncured resins,H3,427.21,,DE,,R1,Austria
A1060,Y23,11 01 05*,pickling solution,H8,248.66,,IT,,R5,Austria
A4130,Y36,15 01 11*,gas cylinders,H11,17.7,,DE,,R4,Austria
A2030,,16 08 02*,catalysts,H11,68.038,,DE,,R4,Austria
A4090,Y17,11 01 07*,pickling solution ,H8,1486.0,,DE,,R5,Austria
,Y17,11 03 02*,hardening salts,H5.1,44.38,,DE,D12,,Austria
A1170,,20 01 33*,batteries,H8,163.057,,DE,,R12,Austria
A4100,Y18,16 05 07*,catalysts,H6.1,2.017,,DE,,R4,Austria
A1100,Y31,10 06 03*,filter dusts,H13,1050.278,DE,BE,,R4,Austria
A4070,Y12,08 01 13*,paint residues,H3,436.295,,DE,,R1,Austria
A4070,Y12,19 02 09*,paint waste,H4.1,18.15,,HU,,R1,Austria
,Y8,15 02 02*,waste from craft shops,H12,1300.8,,CH,,R1,Austria
A4020,Y1,18 01 03*,infectious wasdtes,H6.2,271.87,,DE,D10,,Austria
,Y16,09 01 04*,developer,H12,91.51,,DE,,R4,Austria
,Y23,10 02 07*,steelmill dust,H13,61867.71,,DE,,R4,Austria
A1170,Y23,20 01 34,mixed batteries,H8,2213.833,,DE,,R12,Austria
,Y23,10 02 13*,top gas sludge,H12,1085.01,"DE,CZ",PL,,R4,Austria
,Y31,19 08 13*,zink bearing sludge,H12,669.5,,DE,,R4,Austria
A3140,Y42,19 02 08*,solvents,H3,186.54,,CH,,R1,Austria
,Y18,19 10 05*,shredding residues,H13,117.28,,DE,,R1,Austria
A1060,Y34,11 01 05*,pickling acid,H8,476.76,,DE,,R13,Austria
A4020,Y1,20 01 32,unsorted medicines,H12,88.94,,CH,,R1,Austria
A1180,Y31,16 02 13*,E-scrap,H11,12.022,,DE,,R5,Austria
,,10 06 04,metal dust,H12,161.149,DE,NL,,R12,Austria
A4070,Y12,08 01 11*,paint waste,H3,488.973,,DE,,R1,Austria
A1170,Y26,16 06 02*,Ni-Cd-batteries,H8,262.863,DE,FR ,,R4,Austria
,Y18,19 10 03*,shredding residues,H12,2362.2,,DE,,R5,Austria
A3020,Y8,13 02 05*,waste oil,H13,714.94,SI,HR,,R1,Austria
A1100,Y31,10 06 03*,filter dusts,H6.1,301.105,,IT,,R4,Austria
A4100,Y23,10 02 13*,top gas sludge,H11,523.42,,DE,,R4,Austria
A4140,Y18,16 05 06*,chemicals,H3,26.192,,DE,D15,,Austria
A4010,Y3,18 01 08*,unsorted medicins,H3,45.74,,DE,D10,,Austria
,Y3,19 02 04*,pharmeceutic waste,H4.1,120.86,,DE,D10,,Austria
A4060,Y9,12 01 06*,metal sludge,H13,76.92,,DE,,R3,Austria
A3140,Y42,07 01 08*,solvents,H3,5349.84,,DE,,R3,Austria
A2030,Y18,16 08 02*,catalysts,H13,102.187,,DE,,R8,Austria
A1170,Y23,16 06 05,mixed batteries,H8,417.28,,DE,,R4,Austria
A1030,Y29,06 04 04*,amalgam waste,H12,0.829,,DE,,R4,Austria
A1180,Y31,20 01 35*,monitors,H11,1231.7,,DE,,R5,Austria
A1170,,16 06 05,Li-batteries,H12,88.92,DE,FI,,R4,Austria
A1160,Y31,16 06 01*,LAB,H8,522.68,,CZ,,R4,Austria
A3140,Y42,19 02 08*,solvents,H3,190.32,,DE,,R12,Austria
A3150,Y41,07 01 08*,solvents,H12,83.389,,DE,,R5,Austria
A2030,,16 08 07*,catalysts,H3,3.214,"DE,BE",GB,,R8,Austria
,Y45,14 06 01*,CFCs,H12,31.223,DE,NL,,R3,Austria
A3140,Y42,07 01 04*,solvents,H3,22.64,,DE,,R5,Austria
A1100,Y23,10 06 03*,filter dusts,H13,28.959,,DE,,R4,Austria
A1170,Y23,20 01 33*,mixed batteries,H8,46.882,,CH,,R4,Austria
A1060,,11 01 06*,pickling acid,H8,37.655,,DE,,R4,Austria
A1020,Y31,19 12 11*,contaminated plöastic,H12,142.04,,DE,,R1,Austria
A3120,Y18,19 10 03*,shredding residues,H13,1788.3,,CH,,R1,Austria
A4140,,16 05 06*,chemicals,H3,8.3,,DE,D10,,Austria
A3150,Y41,14 06 02*,solvents,H3,115.0,,CH,,R1,Austria
A4070,Y12,19 02 09*,paint sludge,H4.1,224.8,,DE,,R1,Austria
A3140,Y42,15 02 02*,whiping paper,H4.1,2.73,DE,NL,,R4,Austria
,Y42,16 01 13*,break fluid,H12,246.78,,DE,,R12,Austria
A1170,Y26,16 06 02*,Ni-Cd-batteries,H11,23.33,,CZ,,R12,Austria
,,12 01 04,metal dust,H12,23.691,,DE,,R4,Austria
A2030,Y18,16 08 07*,catalysts,H4.3,11.874,,DE,D10,,Austria
A3070,Y39,07 01 07*,phenoles,H6.1,151.84,,DE,,R1,Austria
A3150,Y41,14 06 04*,solvent sludge,H6.1,12.32,"DE,NL",BE,,R2,Austria
A3140,Y42,14 06 05*,solvent sludge,H13,7.241,"DE,NL",BE,,R2,Austria
,Y18,16 01 07*,oil filter,H4.1,22.28,,IT,,R4,Austria
,Y17,19 02 07*,oily sludge,H12,23.157,,DE,,R4,Austria
A1180,Y31,20 01 35*,monitors,H11,233.51,,IT,,R5,Austria
A2030,,16 08 07*,catalysts,H11,15.56,,DE,,R13,Austria
A3150,Y41,14 06 02*,solvents,H3,43.22,,DE,,R1,Austria
A4050,Y33,11 01 98*,paints,H6.1,0.105,DE,NL,,R4,Austria
A4050,Y33,11 03 01*,hardening salts,H6.1,12.86,,DE,D12,,Austria
,Y18,11 01 98*,concentrates,H12,0.53,,DE,,R4,Austria
A4140,Y18,16 05 06*,mixed chemicals,H3,7.2,,DE,D10,,Austria
,Y18,19 02 11*,conzentrates,H13,3905.97,,DE,D10,,Austria
A1030,Y29,20 01 21*,fluorescent tubes,H12,753.336,,DE,,R5,Austria
A3020,Y8,13 02 05*,waste oil,H12,17365.49,,DE,,R9,Austria
A4100,,16 05 07*,catalysts,H6.1,0.85,,DE,D10,,Austria
Y46,,20 03 01,MSW,,2021.34,,DE,,R1,Austria
Y46,,20 03 07,bulky waste,,19.91,,DE,,R13,Austria
Y46,,20 03 01,MSW,,3392.47,,CH,D10,,Austria
Y46,,20 03 01,MSW,,82620.69,,CH,,R1,Austria
Y47,,19 12 12,scrap from MSW incineration,,23.38,DE,BE ,,R12,Austria
"A4100,Y47",,19 01 13*,fly ash,H13,733.44,,DE,D12,,Austria
"A4100,Y47",,19 01 07*,flue gas cleaning residues,H13,1936.8,,DE,D12,,Austria
"A4100,Y47",,19 01 13*,fly ash,H8,5501.12,,DE,,R5,Austria
Y47,,19 12 03,scrap from MSW incineration,,1417.54,DE,NL,,R4,Austria
"A4100,Y47",,19 01 13*,fly ash,H13,1852.3,,DE,D14,,Austria
Y47,,19 12 03,scrap from MSW incineration,,159.68,DE,NL,,R12,Austria
Y47,,19 12 03,scrap from MSW incineration,,2317.87,,DE,,R4,Austria
A3180,Y10,,Obsolete Transformers,H12,30.0,GB,FR,D10,,Barbados
"B1210,B1230",,,"Slag, drosses (except gran-ulated slag), scale and oth-ers, wastes of production of ferrous metals, gas cleaning dust and others",H13,37000.0,,RU,,R4,Belarus
B1100,Y23,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing zinc (hard zinc)",H13,410.0,,LV,,R4,Belarus
B1100,Y23,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing zinc (others), 
zinc-containing slags",H13,20.02,,LV,,R4,Belarus
B1100,Y23,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing zinc (others), 
zinc-containing slags",H13,15.165,,LT,,R4,Belarus
B1100,Y23,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing zinc (others),
zinc ashes",H13,480.0,,LV,,R4,Belarus
B1100,Y23,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing zinc (others), zinc dust",H13,100.0,,LV,,R4,Belarus
B1100,Y23,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing zinc (others),
Zinc-containing wastes",H13,10.39,,LV,,R4,Belarus
B2040,Y22,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing brass, brass-containing slag",H13,20.02,PL,DE,,R4,Belarus
B2040,Y22,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing brass, brass-containing slag",H13,110.1,,LV,,R4,Belarus
B1100,,,"Slag, drosses, residues of substances (except pro-duction of ferrous metals), comprising metals, arsenic or their compounds, most-ly containing aluminium,
aluminium alloy slag",H13,2500.0,,RU,,R4,Belarus
B1120,,,"Slag, ash and residues of substances (except pro-duction of ferrous metals), comprising metals,, arsenic or their compounds, most-ly containing nickel, spent catalysts",H11,40.166,,LV,,R8,Belarus
B3080,,,"Wastes, waste paring and scrap of rubber (other than hard rubber), powders and granules obtained from them), (scrap, cord-reinforced industrial rubber wastes)",H4.1,3001.0,"KZ,KG,TJ,UA",PK,,R3,Belarus
B3080,,,"Wastes, waste paring and scrap of rubber (other than hard rubber), powders and granules obtained from them), (scrap, cord-reinforced industrial rubber wastes)",H4.1,200.0,"DE,PL",NL,,R3,Belarus
B3080,,,"Wastes, waste paring and scrap of rubber (other than hard rubber), powders and granules obtained from them), (scrap, cord-reinforced industrial rubber wastes)",H4.1,40.0,,ET,,R3,Belarus
B3140,,,"Other tires, pneumatic tires used",H4.1,600.0,RU,GE,,R3,Belarus
"A1160,A1170,A1180",Y31,,Waste and scrap of prima-ry batteries and electric accumulators (others),H12,460.832,,LT,,R13,Belarus
"A1180,A3180",Y10,,"Products of chemical and other related industries, not mentioned
(capacitors contaminated with PCBs)",H12,25.0,"DE,PL",FR,,R13,Belarus
A3180,Y10,160209,,,129.734,,FR,D10,,Belgium
A3180,Y10,160209,,,12.26,,NL,D14,,Belgium
A3050,Y12,80113,,,39.44,,FR,,R12,Belgium
A4070,Y12,80111,,,125.77,,DE,,R12,Belgium
A4130,Y12,150110,,,14.38,,DE,,R12,Belgium
A4130,Y12,150110,,,253.999,,NL,,R12,Belgium
A3050,Y13,80409,,,101.27,,DE,,R12,Belgium
A3050,Y13,191211,,,242.3,,DE,,R12,Belgium
A4140,Y14,160506,,,113.256,,DE,D10,,Belgium
A4140,Y14,160506,,,10.953,,DK,D10,,Belgium
A4080,Y15,160401,,,1.523,,DE,D10,,Belgium
A4080,Y15,160401,,,2.322,,DE,D15,,Belgium
A4080,Y15,160402,,,157.842,,DE,D15,,Belgium
A4080,Y15,160504,,,49.993,,NL,,R12,Belgium
A4060,Y16,70701,,,276.407,,NL,D10,,Belgium
A1170,Y18,160121,,,6.2,,DE,,R13,Belgium
A1190,Y18,170410,,,48.25,,FR,,R12,Belgium
A4010,Y18,161001,,,594.04,,FR,D10,,Belgium
A4090,Y18,190204,,,545.0,,DE,D10,,Belgium
A4100,Y18,101115,,,30.82,,DE,D12,,Belgium
A4110,Y18,190113,,,7486.168,,DE,,R12,Belgium
A4140,Y18,160903,,,15.988,,DE,D10,,Belgium
A4100,Y22,160507,,,16.398,,NL,D14,,Belgium
A2030,Y23,160802,,,28.275,,NL,,R13,Belgium
A1030,Y24,100606,,,2266.547,,DE,D12,,Belgium
A1030,Y29,60404,,,158.214,,DE,D12,,Belgium
A1030,Y29,200121,,,6.586,,DE,,R12,Belgium
A1160,Y31,160601,,,99.539,,FR,,R12,Belgium
A1160,Y31,160601,,,56.485,,NL,,R12,Belgium
A1160,Y31,160601,,,3530.647,,NL,,R13,Belgium
A1190,Y31,170409,,,20.0,,NL,,R13,Belgium
A1180,Y32,160213,,,3.064,,FR,,R12,Belgium
A4090,Y34,60106,,,14.11,,DE,D10,,Belgium
A4090,Y34,160506,,,9.4,,DE,D10,,Belgium
A4090,Y34,200114,,,5.784,,DE,D10,,Belgium
A4140,Y34,160506,,,34.557,,DE,D10,,Belgium
A4090,Y35,50111,,,7498.114,,NL,D10,,Belgium
A4090,Y35,160506,,,2.94,,DE,D10,,Belgium
A4090,Y35,200115,,,11.08,,DE,D10,,Belgium
A4050,Y38,80501,,,101.21,,DE,,R12,Belgium
A3150,Y41,70103,,,584.423,,DE,D10,,Belgium
A3150,Y41,70503,,,25.92,,DE,D10,,Belgium
A3170,Y41,70107,,,11741.985,,FR,D10,,Belgium
A3140,Y42,70101,,,377.9,,FR,D10,,Belgium
A3140,Y42,70104,,,297.1,,NL,D10,,Belgium
A3140,Y42,70108,,,444.273,,DE,D10,,Belgium
A3140,Y42,70204,,,610.818,,NL,,R12,Belgium
A3140,Y42,70404,,,22.56,,FR,D10,,Belgium
A3140,Y42,70704,,,18.28,,DE,D10,,Belgium
A3140,Y42,150202,,,0.94,,DE,,R13,Belgium
A3140,Y42,161001,,,2936.68,,FR,D10,,Belgium
A3140,Y42,190208,,,1233.74,,FR,D10,,Belgium
A4140,Y42,160508,,,96.055,,NL,,R12,Belgium
A3120,,191004,,,3532.006,,FR,,R12,Belgium
A3140,,161002,,,2004.4,,FR,D10,,Belgium
,"Y12,Y13,Y41,Y45",,"sludges from paints and varnishes, halogenated solvents, packaging waste and filter materials",,199.06,,AT,D10,,Bosnia and Herzegovina
,Y11,,0,,13.96,,AT,D9,,Bosnia and Herzegovina
,"Y18,Y31",,sludges containing dangerous substances from other treatment of industrial waste water,,24.14,,AT,D10,,Bosnia and Herzegovina
,Y1,,wastes whose collection and disposal is subject to special requirements in order to prevent infection,,13.2,,AT,D10,,Bosnia and Herzegovina
A1160,"Y31,Y34",,0,"H12,H8",3483.37,,RS,,R4,Bosnia and Herzegovina
A1160,"Y31,Y34",,lead acid batteries,,1571412.0,,SI,,R4,Bosnia and Herzegovina
A1160,"Y31,Y34",,lead acid batteries,,889.54,,HR,,R4,Bosnia and Herzegovina
A4070,Y12,,waste paint and varnish ,,73.0,,DE,D10,,Bosnia and Herzegovina
,Y18,,mixed waste ,"H4.1,H6.1,H12",166.16,,DE,D10,,Bosnia and Herzegovina
,"Y2,Y3",,Pharmaceutical waste,"H3,H4.1,H6.1,H12",37.16,,DE,D10,,Bosnia and Herzegovina
A1160,Y31,,lead acid batteries,H12,912.43,,CZ,,R4,Bosnia and Herzegovina
A1160,Y31,,lead acid batteries,H12,432.64,,AT,,R4,Bosnia and Herzegovina
